"code","name"
"000AARF ","Amphibolite and Amphibolite Rich Foliats"
"000AMPB ","Amphibolite"
"000ANRS ","Anorthosite"
"000CLMB ","Columbia Granite"
"000EVRN ","Everona Limestone"
"000EXRV ","Extrusive Rocks"
"000FILL ","Unclassified Fill"
"000GBBR ","Gabbro and Gabbroic Gneiss"
"000GHBG ","Granite and Hornblend Gneiss"
"000GRDR ","Granodiorite"
"000GRGS ","Granite Gneiss"
"000GRNS ","Greenstone Schist"
"000GRNT ","Granite"
"000GRPC ","Graphitic Gneiss"
"000GVCC ","Greenstone Volcanics"
"000HBLD ","Hornblende Gneiss"
"000HGGT ","Hornblend Gabbro and Gneiss Talc"
"000HKNS ","Hawkins Formation"
"000ICRC ","Incarnacion Granite"
"000IRSV ","Intrusive Rocks"
"000LCHR ","Leecher Metamorphics"
"000LMMB ","Limestone and Marble"
"000MBSL ","Metabasalt"
"000MCRL ","Mount Crillon Gabbro"
"000MDBS ","Metadiabase"
"000MFCG ","Mafic Gneiss"
"000MFCGH","Mafic Gneiss, Hornblende-Bearing"
"000MFCGP","Mafic Gneiss, Pyroxene-Bearing"
"000MGBR ","Metagabbro"
"000MMPS ","Metamorphosed Sedimentary Rocks"
"000MNSR ","Mount Stuart Granodiorite"
"000MPVS ","Metamorphosed Volcanic and Sedimentary Rocks"
"000MTHW ","Methow Gneiss"
"000MTRL ","Metarhyolite"
"000NWKM ","Newaukum Series"
"000ORCS ","Orcas Group"
"000OVBD ","Unclassified Overburden"
"000PGMT ","Pegmatite"
"000PSSN ","Peshastin Formation"
"000QRZD ","Quartz Diorite"
"000QZMZ ","Quartz Monzonite"
"000SAND ","Sand (Unknown Age)"
"000SELS ","St Elias Schist"
"000SPCK ","Sheep Creek Conglomerate"
"000SPRL ","Saprolite"
"000SRPN ","Serpentinite"
"000TLBK ","Turtleback Complex"
"000UMTL ","unknown material"
"000UNNB ","Union Bay Ultramafic Complex"
"100ALVF ","Alluvial Fan Deposits"
"100ALVM ","Alluvium"
"100ALVT ","Alluvium and Talus"
"100AVSR ","Alluvium and Santa Rosa Sandstone"
"100BDRK ","Bedrock Undifferentiated"
"100BECH ","Beach Deposits"
"100CEZC ","Cenozoic"
"100CLDD ","Consolidated Rocks"
"100CLRB ","Coralline Rubble Deposits"
