"code","name"
"N300ADAVMS","Ada-Vamoosa aquifer"
"N100AKUNCD","Alaska unconsolidated-deposit aquifers"
"N100ALLUVL","Alluvial aquifers"
"N400ABKSMP","Arbuckle-Simpson aquifer"
"N100BSNRGB","Basin and Range basin-fill aquifers"
"N400BSNRGC","Basin and Range carbonate-rock aquifers"
"N400BISCYN","Biscayne aquifer"
"N400BLAINE","Blaine aquifer"
"N100CACSTL","California Coastal Basin aquifers"
"S300CAMORD","Cambrian-Ordovician aquifer system"
"N400CSLHYN","Castle Hayne aquifer"
"N300CNRLOK","Central Oklahoma aquifer"
"S100CNRLVL","Central Valley aquifer system"
"S100CSLLWD","Coastal lowlands aquifer system"
"N300COPLTS","Colorado Plateaus aquifers"
"N600CMBPLV","Columbia Plateau basaltic-rock aquifers"
"N100CMBPLB","Columbia Plateau basin-fill aquifers"
"S300DNVRBS","Denver Basin aquifer system"
"N300ERLMZC","Early Mesozoic basin aquifers"
"S500EDRTRN","Edwards-Trinity aquifer system"
"S400FLORDN","Floridan aquifer system"
"N600HIVLCC","Hawaii volcanic-rock aquifers"
"N100HGHPLN","High Plains aquifer"
"S500INTRMD","Intermediate aquifer system"
"N300JCBSVL","Jacobsville aquifer"
"N400KNGSHL","Kingshill aquifer (Virgin Islands)"
"N300LCRTCS","Lower Cretaceous aquifers"
"N300LTRTRY","Lower Tertiary aquifers"
"N300MRSHLL","Marshall aquifer"
"S100MSEMBM","Mississippi embayment aquifer system"
"N100MSRVVL","Mississippi River Valley alluvial aquifer"
"N500MSSPPI","Mississippian aquifers"
"N600NECRSN","New York and New England crystalline-rock aquifers"
"N400NYNECB","New York and New England carbonate-rock aquifers"
"N300NYSDSN","New York sandstone aquifers"
"N400NCSTLM","North Coast Limestone aquifer system (Puerto Rico)"
"S100NATLCP","Northern Atlantic Coastal Plain aquifer system"
"S100NRMTIB","Northern Rocky Mountains Intermontane Basins aquifer systems"
"N400ORDVCN","Ordovician aquifers"
"N9999OTHER","Other aquifers"
"S400OZRKPL","Ozark Plateaus aquifer system"
"N100PCFNWB","Pacific Northwest basin-fill aquifers"
"N100PCFNWV","Pacific Northwest volcanic-rock aquifers"
"N500PLOZOC","Paleozoic aquifers"
"N100PCSRVR","Pecos River Basin alluvial aquifer"
"N300PNSLVN","Pennsylvanian aquifers"
"N400PDMBRC","Piedmont and Blue Ridge carbonate-rock aquifers"
"N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers"
"S100PGTSND","Puget Sound aquifer system"
"S100RIOGRD","Rio Grande aquifer system"
"S400RSWLBS","Roswell Basin aquifer system"
"N300RSHSPG","Rush Springs aquifer"
"N100GLCIAL","Sand and gravel aquifers (glaciated regions)"
"N100SYMOUR","Seymour aquifer"
"N400SLRDVN","Silurian-Devonian aquifers"
"N600SKRVPV","Snake River Plain basaltic-rock aquifers"
"N600SKRVPB","Snake River Plain basin-fill aquifers"
"N300STHCST","South Coast aquifer (Puerto Rico)"
"S100SECSLP","Southeastern Coastal Plain aquifer system"
"N600SRNVDV","Southern Nevada volcanic-rock aquifers"
"S100SURFCL","Surficial aquifer system"
"S100TXCLUP","Texas coastal uplands aquifer system"
"N400UPCRBN","Upper carbonate aquifer"
"N300UPCTCS","Upper Cretaceous aquifers"
"N500VLYRDG","Valley and Ridge aquifers"
"N100WLMLWD","Willamette Lowland basin-fill aquifers"
"N300WYTRTR","Wyoming Tertiary aquifers"
