"code","name"
"90","New Brunswick"
"91","Quebec"
"92","Ontario"
"93","Manitoba"
"94","Saskatchewan"
"95","Alberta"
"96","British Columbia"
"97","Yukon Territories"
"98","Nova Scotia"
"64","Federated States Of Micronesia"
"81","Tamulipas"
"82","Nuevo Leon"
"83","Coahuila"
"84","Chihauhau"
"85","Sonora"
"86","Baja California Norte"
"61","Panama"
"70","Palau"
"68","Marshall Islands"
"01","Alabama"
"02","Alaska"
"04","Arizona"
"05","Arkansas"
"06","California"
"08","Colorado"
"09","Connecticut"
"10","Delaware"
"11","District of Columbia"
"12","Florida"
"13","Georgia"
"15","Hawaii"
"16","Idaho"
"17","Illinois"
"18","Indiana"
"19","Iowa"
"20","Kansas"
"21","Kentucky"
"22","Louisiana"
"23","Maine"
"24","Maryland"
"25","Massachusetts"
"26","Michigan"
"27","Minnesota"
"28","Mississippi"
"29","Missouri"
"30","Montana"
"31","Nebraska"
"32","Nevada"
"33","New Hampshire"
"34","New Jersey"
"35","New Mexico"
"36","New York"
"37","North Carolina"
"38","North Dakota"
"39","Ohio"
"40","Oklahoma"
"41","Oregon"
"42","Pennsylvania"
"44","Rhode Island"
"45","South Carolina"
"46","South Dakota"
"47","Tennessee"
"48","Texas"
"49","Utah"
"50","Vermont"
"51","Virginia"
"53","Washington"
"54","West Virginia"
"55","Wisconsin"
"56","Wyoming"
"60","American Samoa"
"65","Palmyra Atoll"
"66","Guam"
"67","Johnston Atoll"
"69","Northern Mariana Islands"
"71","Midway Islands"
"72","Puerto Rico"
"73","Ryukyu Islands, Southern"
"74","Swan Islands"
"76","U.S. Misc Caribbean Islands"
"77","U.S. Misc Pacific Islands"
"78","Virgin Islands"
"79","Wake Island"
